Abbr,State,PersonalVehiclePercent,PublicTransportPercent,TotalCommuteMinutes,MalePercent,HomeownerPercent,MarriedPercent,DepressedPercent,CF,CG,CH,CI
AL,Alabama,94.5,0.4,24.3,47.8,72.3,51,21.3,0.186509913,0.76994736,0.592775006,0.277763349
AK,Alaska,81.5,1.3,18.3,52.2,67.5,51.8,15.6,DF,DG,DH,DI
AZ,Arizona,87.4,2,24.5,49.3,66.4,51.3,18.7,-0.360032149,-0.755710351,-0.641487799,-0.286205053
AR,Arkansas,93.4,0.3,21.7,48.5,69.4,54,21.5,EF,EG,EH,EI
CA,California,84,5.3,28.1,49.3,58,49.8,13.3,-0.617613398,-0.369187841,-0.541439776,-0.268790197
CO,Colorado,85.3,3.3,25.1,49.8,67.7,54.1,17,,,,
CT,Connecticut,86.2,4.8,25.4,48.1,70.5,50.9,18.3,,,,
DE,Delaware,89.1,2.9,24.6,47.8,74.3,49.9,18.3,,,,
DC,District of Columbia,40.7,36.1,29.3,46.7,44.8,28.4,18.1,,,,
FL,Florida,88.8,2.1,26.4,48.4,68.7,49.4,16.2,,,,
GA,Georgia,89.7,2.1,27.6,48.2,67.3,50.3,18.3,,,,
HI,Hawaii,79.9,7.2,27.9,50.1,62.3,52.5,10.7,,,,
ID,Idaho,88.7,0.8,20.3,49.6,71.7,59.1,19.5,,,,
IL,Illinois,81.4,9.4,28.6,48.5,70.6,51,16.7,,,,
IN,Indiana,92.2,1.1,23.3,48.7,73.2,52.9,20.7,,,,
IA,Iowa,89.4,1,18.8,49.1,74.6,55.8,18.7,,,,
KS,Kansas,91.6,0.5,19.2,49.3,70.6,55.7,18.6,,,,
KY,Kentucky,91.8,1.1,22.9,48.7,71.3,53.1,23.9,,,,
LA,Louisiana,92,1.4,25.4,48.3,70.4,47.2,18.7,,,,
ME,Maine,88.1,0.8,23.6,48.4,75.2,53.7,23.7,,,,
MD,Maryland,83.2,9,32.3,47.7,70.7,49.8,15.9,,,,
MA,Massachusetts,78.6,9.8,28.8,47.8,65.9,49,21.7,,,,
MI,Michigan,91.2,1.5,24.3,48.5,75.2,51.3,20.5,,,,
MN,Minnesota,86.5,3.7,23.4,49.3,75.7,55.5,18.2,,,,
MS,Mississippi,94.3,0.3,24.2,47.8,71.9,47.7,19.9,,,,
MO,Missouri,90.6,1.6,23.1,48.4,71.7,52.8,21.7,,,,
MT,Montana,85.1,1.1,17.9,50,71.1,54.6,20.4,,,,
NE,Nebraska,91.3,0.7,18.4,49.3,70.5,56.2,17.7,,,,
NV,Nevada,88,4.3,23.8,50.1,59.5,49.7,15.6,,,,
NH,New Hampshire,89.2,0.7,27,48.9,75.3,55.3,21,,,,
NJ,New Jersey,79.7,11,31.1,48.2,68.3,52,13.4,,,,
NM,New Mexico,89.8,1.3,21.8,49.1,72,49.1,21.1,,,,
NY,New York,59.6,28.3,32.6,47.8,57.3,47.2,15.9,,,,
NC,North Carolina,91,1.1,23.9,48,68.7,52.2,19,,,,
ND,North Dakota,89.6,0.7,17.6,50.8,69,56,17.3,,,,
OH,Ohio,91.4,1.7,23.2,48.3,70.9,51.2,20.9,,,,
OK,Oklahoma,92.8,0.4,21.3,49,69.9,53.7,21.8,,,,
OR,Oregon,81.3,4.7,23.1,49.1,64.2,53,24,,,,
PA,Pennsylvania,84.9,5.7,26.4,48.2,73.5,51,19.7,,,,
RI,Rhode Island,87.7,3,24,47.7,64.6,47.2,20.6,,,,
SC,South Carolina,92,0.7,24.1,48,71.1,50.4,19.9,,,,
SD,South Dakota,88.3,0.5,16.7,49.8,70.6,55.3,16.6,,,,
TN,Tennessee,92.7,0.9,24.5,48.1,70.6,52.5,21.4,,,,
TX,Texas,91,1.6,25.6,49.2,67,53,14.6,,,,
UT,Utah,87.9,2.5,21.6,49.8,72.1,60.4,20.7,,,,
VT,Vermont,85.1,1.1,22.1,48.8,74.2,52.7,21.8,,,,
VA,Virginia,87,4.7,28.1,48.6,69.6,53.1,17.4,,,,
WA,Washington,82.5,6.3,26.8,49.5,66.3,54.1,21.6,,,,
WV,West Virginia,92.7,0.7,25.7,48.9,76.4,52.9,23.6,,,,
WI,Wisconsin,89,1.9,21.9,49.2,71.1,54.2,17,,,,
WY,Wyoming,87.8,1.6,18.7,50.9,71.9,57.1,19,,,,
PR,Puerto Rico,89.7,2.7,29.4,46.8,71,38.1,18.5,,,,
